user_id,home_city,avg_amount
U0001,Mumbai,1671.9526896605505
U0002,Chennai,3362.235336372554
U0003,Delhi,2026.8677137900265
U0004,Pune,1670.700912329015
U0005,Mumbai,2778.3117803252885
U0006,Delhi,2825.2333647074092
U0007,Kolkata,2909.11190091744
U0008,Kolkata,2043.0559627295904
U0009,Ahmedabad,1811.5559817811538
U0010,Delhi,1803.6313873282609
U0011,Chennai,896.7055824243266
U0012,Chennai,1638.7066590475445
U0013,Lucknow,1283.7188574002225
U0014,Kolkata,3639.628867212214
U0015,Pune,3106.5222603902776
U0016,Ahmedabad,453.9724432890022
U0017,Pune,3722.9444379941497
U0018,Pune,2100.635824101193
U0019,Kolkata,3357.280119519124
U0020,Mumbai,2739.8637483600364
U0021,Jaipur,2352.9541367484885
U0022,Mumbai,1247.0708351001301
U0023,Lucknow,3069.849671990712
U0024,Ahmedabad,2748.146673720716
U0025,Chennai,1191.5911275210337
U0026,Lucknow,2517.716328627121
U0027,Jaipur,351.5642645203457
U0028,Pune,2868.77101187868
U0029,Jaipur,2107.7609678006734
U0030,Bengaluru,691.8203938777872
U0031,Jaipur,3203.6247622330934
U0032,Chennai,2542.2585365900404
U0033,Lucknow,1217.0063829200249
U0034,Chennai,1448.2382935190753
U0035,Lucknow,497.51315072054894
U0036,Pune,3449.187019242162
U0037,Hyderabad,1840.1709751018113
U0038,Hyderabad,3383.796649017671
U0039,Pune,3182.286511939077
U0040,Kolkata,2666.3841035773075
U0041,Delhi,1659.7936974259737
U0042,Delhi,2079.3685847102906
U0043,Jaipur,1366.1757724751083
U0044,Kolkata,788.7804980157125
U0045,Lucknow,3195.7091871293237
U0046,Hyderabad,2579.813090089249
U0047,Pune,2120.9668976290877
U0048,Jaipur,624.5233440698431
U0049,Chennai,1463.4279267557727
U0050,Bengaluru,3187.1155274647513
U0051,Kolkata,3446.9746130058957
U0052,Pune,1392.8283937731326
U0053,Lucknow,3553.0400899386573
U0054,Lucknow,2705.4625575675486
U0055,Kolkata,433.802028830376
U0056,Kolkata,1182.6454363213375
U0057,Delhi,2166.76466371405
U0058,Pune,1014.2535162149452
U0059,Mumbai,2925.4396548722966
U0060,Ahmedabad,3201.0995088632094
U0061,Delhi,2889.1709949795445
U0062,Hyderabad,741.1048469316551
U0063,Lucknow,1823.7003173666099
U0064,Kolkata,2418.094352551828
U0065,Bengaluru,1634.4321374659407
U0066,Kolkata,1463.4675594535447
U0067,Hyderabad,1338.262313694527
U0068,Mumbai,868.3677265243488
U0069,Delhi,2844.360681914542
U0070,Bengaluru,913.8554111431745
U0071,Chennai,596.1823494908846
U0072,Bengaluru,1161.553454291713
U0073,Pune,2659.0781917702984
U0074,Ahmedabad,2085.5182817729874
U0075,Hyderabad,2266.2208517169374
U0076,Chennai,1958.3671145504245
U0077,Chennai,2595.323525734763
U0078,Lucknow,3009.9299610770145
U0079,Ahmedabad,3074.939090360494
U0080,Jaipur,2020.4017879165162
U0081,Bengaluru,1678.9986628349166
U0082,Mumbai,1167.7800566328046
U0083,Pune,1785.0155629475353
U0084,Mumbai,1406.0915091399504
U0085,Jaipur,2955.2648462738
U0086,Bengaluru,3991.0461378727937
U0087,Ahmedabad,548.5166747367375
U0088,Bengaluru,3849.074309524931
U0089,Lucknow,2259.305604554768
U0090,Lucknow,1348.0136530254222
U0091,Mumbai,3214.082394048555
U0092,Lucknow,3834.792884294901
U0093,Jaipur,1210.4464625682722
U0094,Mumbai,1722.666198562734
U0095,Jaipur,3492.228885841249
U0096,Pune,1895.9099745418637
U0097,Hyderabad,1144.535639214656
U0098,Kolkata,811.3598750625638
U0099,Mumbai,1194.0639623346174
U0100,Kolkata,2590.7406197798036
U0101,Chennai,1637.6834909650377
U0102,Lucknow,589.0010543973464
U0103,Ahmedabad,3032.7474298923157
U0104,Jaipur,2864.4530796398953
U0105,Mumbai,769.5669094184987
U0106,Hyderabad,1390.5942148502231
U0107,Bengaluru,1238.5586742787655
U0108,Ahmedabad,3938.643181173869
U0109,Pune,3591.72876019897
U0110,Mumbai,3676.5561533251453
U0111,Delhi,3005.2031136153428
U0112,Jaipur,1056.270258201288
U0113,Chennai,1813.8179172117495
U0114,Hyderabad,785.1021641970135
U0115,Bengaluru,1329.0194204245051
U0116,Ahmedabad,2714.321042784854
U0117,Kolkata,3543.8299498790916
U0118,Jaipur,658.8181882102733
U0119,Ahmedabad,3019.9788818226434
U0120,Hyderabad,671.4638889042944
U0121,Bengaluru,1555.4919392252755
U0122,Ahmedabad,3176.2272393124613
U0123,Bengaluru,2083.513810469497
U0124,Lucknow,740.1272497387819
U0125,Pune,3043.9741411066066
U0126,Ahmedabad,3078.102763555981
U0127,Kolkata,777.4112115735545
U0128,Chennai,2741.8198141783314
U0129,Kolkata,3073.5888900146097
U0130,Ahmedabad,3032.489636940526
U0131,Bengaluru,1566.7410032102002
U0132,Kolkata,2752.7659425773522
U0133,Bengaluru,2771.0418877375496
U0134,Delhi,2895.1470746006994
U0135,Jaipur,2836.0825668157527
U0136,Bengaluru,2314.8290875529565
U0137,Jaipur,3056.4686453848476
U0138,Lucknow,2685.831019129375
U0139,Kolkata,3484.108701389191
U0140,Ahmedabad,811.8175594293821
U0141,Kolkata,2592.7735460884874
U0142,Chennai,713.8257688085055
U0143,Jaipur,3997.861064129495
U0144,Lucknow,1477.8076342273753
U0145,Delhi,3338.553910412028
U0146,Ahmedabad,832.4621754906656
U0147,Hyderabad,301.9193534131104
U0148,Mumbai,3345.5610568153506
U0149,Hyderabad,3083.6169834041452
U0150,Delhi,3080.515999114165
U0151,Lucknow,1774.4745068545858
U0152,Ahmedabad,1116.9523084730558
U0153,Chennai,2525.766274087258
U0154,Mumbai,1301.578017531896
U0155,Pune,2691.275823945669
U0156,Ahmedabad,520.1007610783581
U0157,Bengaluru,1864.1159268066303
U0158,Delhi,2558.7947491646178
U0159,Chennai,3090.804605270202
U0160,Ahmedabad,2434.3855464410935
U0161,Lucknow,1488.0168177238631
U0162,Pune,3729.046748509275
U0163,Ahmedabad,2351.2763865051256
U0164,Kolkata,2381.887919126972
U0165,Jaipur,2442.2168415758974
U0166,Lucknow,320.2505026881217
U0167,Hyderabad,3872.039027882421
U0168,Hyderabad,3300.562738287711
U0169,Hyderabad,738.0766077610745
U0170,Chennai,388.6903154534352
U0171,Lucknow,2232.328307734777
U0172,Chennai,3293.1875292749714
U0173,Chennai,3976.1090881113355
U0174,Hyderabad,3398.6602520147744
U0175,Lucknow,3688.255974151225
U0176,Hyderabad,3868.180821098472
U0177,Pune,2319.0000680998764
U0178,Jaipur,1748.575314232396
U0179,Pune,2565.217731797624
U0180,Lucknow,2208.29600226579
U0181,Kolkata,2403.707944403821
U0182,Pune,2585.818961470658
U0183,Kolkata,1699.7463427816365
U0184,Lucknow,2716.8099745844293
U0185,Pune,697.0557424803255
U0186,Pune,2099.238266881153
U0187,Hyderabad,3931.132274636106
U0188,Mumbai,3192.501076023597
U0189,Lucknow,1672.375589704176
U0190,Lucknow,3057.25421828974
U0191,Bengaluru,1308.5700404387994
U0192,Ahmedabad,948.1681010672136
U0193,Jaipur,2908.6043271395138
U0194,Hyderabad,3336.061205767485
U0195,Delhi,3081.588624153892
U0196,Delhi,1420.9691266980174
U0197,Ahmedabad,3508.5374234448122
U0198,Kolkata,358.4805551284952
U0199,Hyderabad,1133.1573645905182
U0200,Pune,3592.626326167625
U0201,Pune,1396.3086326778948
U0202,Hyderabad,3386.2473004078
U0203,Mumbai,818.2049973511154
U0204,Lucknow,1236.2285747398291
U0205,Jaipur,3978.0877580738006
U0206,Hyderabad,1023.3345613673731
U0207,Hyderabad,1792.4112920217747
U0208,Chennai,661.8155905481394
U0209,Chennai,3658.1380981447846
U0210,Jaipur,3432.682886880501
U0211,Kolkata,1080.4572374082377
U0212,Jaipur,2589.990610342046
U0213,Hyderabad,3335.871992276835
U0214,Jaipur,1761.8767989271962
U0215,Ahmedabad,3242.359356756025
U0216,Pune,1602.5874946851814
U0217,Bengaluru,3569.0603947677178
U0218,Lucknow,390.46811126345506
U0219,Chennai,1766.8140708498047
U0220,Mumbai,2265.7831928288383
U0221,Chennai,3052.780473971466
U0222,Kolkata,3585.817171555018
U0223,Ahmedabad,925.7984173165662
U0224,Bengaluru,3962.345356058032
U0225,Mumbai,2634.3744287588233
U0226,Jaipur,1580.4361447475185
U0227,Pune,1211.5032945979392
U0228,Pune,3666.247504112965
U0229,Pune,799.7952312048392
U0230,Kolkata,1122.7613332181995
U0231,Bengaluru,2592.961740704669
U0232,Chennai,2125.974347614462
U0233,Hyderabad,3013.8258383593925
U0234,Jaipur,3110.6792935336607
U0235,Pune,1272.623928991196
U0236,Delhi,3481.891011695942
U0237,Chennai,3652.595199831172
U0238,Lucknow,2170.3604316211477
U0239,Hyderabad,1143.110810245485
U0240,Chennai,503.25946003137625
U0241,Lucknow,340.7616693216453
U0242,Ahmedabad,2981.8222423134303
U0243,Pune,1603.1862261909596
U0244,Mumbai,3173.5992127882487
U0245,Hyderabad,457.4417252930731
U0246,Delhi,3725.040674325881
U0247,Chennai,3891.627596425988
U0248,Lucknow,868.2451826186237
U0249,Kolkata,1665.2576472112764
U0250,Jaipur,3451.372076184319
