transaction_id,user_id,timestamp,amount,device_id,merchant_id,city,is_fraud,fraud_type,hour,is_odd_hour,is_new_device,is_new_merchant,amount_zscore,amount_vs_user_avg,seconds_since_last_txn,txns_last_1h,device_shared_users,rule_score,rule_reasons,ml_score,anomaly_score,lof_score,lof_flag,graph_score,graph_reasons,final_risk,disagreement_score,decision,final_risk_meta
T000018,U0001,2026-07-01 09:06:00,2038.09,D0588,M045,Mumbai,0,,9,0,1,1,0.0,1.0,1000000000.0,0,1,0,,0.0069398507,54.80217327175573,0.658782252389178,0,0,,16.443427921806716,27.39993018939725,HOLD,64.50348076137516
T000037,U0001,2026-07-01 09:17:00,2270.25,D0588,M005,Mumbai,0,,9,0,0,1,0.0,1.0,660.0,1,1,0,,0.0097173685,26.148956660625164,0.2569868720369367,0,0,,7.848573945587549,13.072859571468374,ALLOW,18.937522471021218
T000029,U0001,2026-07-02 09:33:00,3344.08,D0395,M006,Mumbai,0,,9,0,1,1,0.0,1.0,87360.0,0,1,0,,0.010362738,44.43419457968875,0.8893286405131672,0,0,,13.334403469106626,22.215370703941673,HOLD,46.386488095107694
T000007,U0001,2026-07-05 13:11:00,1955.82,D0588,M012,Mumbai,0,,13,0,0,1,-1.0458915332243786,0.7667456827643755,272280.0,0,1,0,,0.019992385,26.60635986490505,0.3641903970326844,0,0,,7.9899049134715145,13.299851207466974,ALLOW,19.45828565630891
T000033,U0001,2026-07-06 17:20:00,1982.51,D0395,M006,Mumbai,0,,17,0,0,0,-0.7546364183358258,0.8253374183720068,101340.0,0,1,0,,0.0010835133,1.9551417711530448,1.4178162773219996,0,0,,0.5869759366659134,0.9773904334886148,ALLOW,3.9655867192292535
T000001,U0001,2026-07-08 10:28:00,1727.44,D0588,M045,Mumbai,0,,10,0,0,0,-1.1255406719410614,0.7451804237235812,148080.0,0,1,0,,0.0020308786,5.185058971581866,1.5304257040828038,0,0,,1.55633004291456,2.5921911828145543,ALLOW,4.946716496523031
T000034,U0001,2026-07-08 12:56:00,514.61,D0395,M005,Mumbai,0,,12,0,0,0,-3.23390418252638,0.2318378096880262,8880.0,0,1,0,,0.002240687,19.277985039882367,0.547661579058877,0,0,,5.78429178676471,9.638619129984724,ALLOW,12.492045074083046
T000022,U0001,2026-07-08 13:43:00,810.67,D0588,M045,Mumbai,0,,13,0,0,0,-1.5118031891887895,0.4102343702741569,2820.0,1,1,0,,0.0017527731,20.679338428678427,0.5326477352015372,0,0,,6.204502637843529,10.339377118504457,ALLOW,13.630328492065317
T000011,U0001,2026-07-08 15:19:00,1343.99,D0395,M045,Mumbai,0,,15,0,0,0,-0.5949268897054616,0.7342467321014777,5760.0,0,1,0,,0.0013742396,1.954239384655425,0.540902288135785,0,0,,0.5868215112366274,0.9768908671954326,ALLOW,3.9654292787896193
T000023,U0001,2026-07-09 03:51:00,1392.19,D0395,M058,Mumbai,0,,3,1,0,1,-0.4888575465561069,0.7837211159838092,45120.0,0,1,0,,0.00977141,50.55177452305686,0.6105038220350819,0,0,,15.169440920917056,25.274259112947828,HOLD,57.27746981802899
T000008,U0001,2026-07-09 13:12:00,2138.08,D0395,M012,Mumbai,0,,13,0,0,0,0.5303547198257359,1.2302204007386683,33660.0,0,1,0,,0.0006590314,1.3151598117035683,0.5475940626369247,0,0,,0.3948115560710705,0.6574701406847179,ALLOW,3.7945881949668845
T000035,U0001,2026-07-09 14:16:00,1651.78,D0395,M005,Mumbai,0,,14,0,0,0,-0.1682444343639218,0.9309269054218808,3840.0,0,1,0,,0.0012845495,1.0471013470814472,0.4590801937943061,0,0,,0.31464422392443414,0.5233369322878835,ALLOW,3.725319478700607
T000032,U0001,2026-07-11 15:06:00,1491.12,D0588,M031,Mumbai,0,,15,0,0,1,-0.3909757021313489,0.8452458271285945,175800.0,0,1,0,,0.026637273,19.79343915045598,1.6452731237848397,0,0,,5.948686654336795,9.892287999399795,ALLOW,12.923065847636952
T000036,U0001,2026-07-12 05:20:00,1910.28,D0395,M006,Mumbai,0,,5,1,0,0,0.2477073034583065,1.095893626335781,51240.0,0,1,0,,0.0033895015,39.11343635263008,0.1216028275117568,0,0,,11.735386706389026,19.5561533246732,HOLD,37.13757243399333
T000012,U0001,2026-07-12 12:12:00,1502.32,D0588,M006,Mumbai,0,,12,0,0,0,-0.3878338616865298,0.8559910881614125,24720.0,0,1,0,,0.00033085077,1.0528511402751577,0.525651740050401,0,0,,0.3159876823905473,0.5263704514488731,ALLOW,3.7265224281799894
T000025,U0001,2026-07-12 16:42:00,2255.12,D0588,M012,Mumbai,0,,16,0,0,0,0.8169370257769608,1.2973766572280978,16200.0,0,1,0,,0.0021374284,2.5341875634882416,0.4720249248509511,0,0,,0.7611112404064725,1.266737944409368,ALLOW,4.126862042077464
T000010,U0001,2026-07-12 17:45:00,1799.1,D0395,M012,Mumbai,0,,17,0,0,0,0.0457038160826122,1.0161410736503094,3780.0,0,1,0,,0.0014900606,0.9497365595887688,0.6635138455556407,0,0,,0.2855169921166306,0.474620456140541,ALLOW,3.700455545133458
T000021,U0001,2026-07-13 15:43:00,1209.67,D0588,M058,Mumbai,0,,15,0,0,0,-0.9272663091429932,0.6825798395946602,79080.0,0,1,0,,0.0006243931,2.2838911158350017,0.5138074809845231,0,0,,0.6854170919905005,1.1418415303382594,ALLOW,4.056064126931075
T000019,U0001,2026-07-15 21:17:00,1665.99,D0395,M031,Mumbai,0,,21,0,0,0,-0.1242143516778602,0.9569424370451094,192840.0,0,1,0,,0.0012327025,3.741537811931175,0.6626832061743207,0,0,,1.1229544245793524,1.8705635458102217,ALLOW,4.48247594622904
T000005,U0001,2026-07-16 09:02:00,968.15,D0395,M039,Mumbai,0,,9,0,0,1,-1.3084132478840091,0.5573671690155876,42300.0,0,1,0,,0.0025782636,20.84854673704353,0.5642259590524485,0,0,,6.255595326553059,10.423843728779005,ALLOW,13.774370666848142
T000013,U0001,2026-07-16 10:51:00,875.96,D0395,M045,Mumbai,0,,10,0,0,0,-1.3784599756353484,0.5157065116126359,6540.0,0,1,0,,0.003843103,5.351304645691057,0.5305893466435395,0,0,,1.606928634907317,2.675012419152332,ALLOW,5.003676321974478
T000009,U0001,2026-07-16 12:25:00,2664.77,D0395,M005,Mumbai,0,,12,0,0,0,1.6531741711862389,1.605871859111765,5640.0,0,1,0,,0.002291767,8.551602835840876,0.5981110681450819,0,0,,2.566397557552263,4.275419593249694,ALLOW,6.211459290135733
T000017,U0001,2026-07-17 15:47:00,2328.93,D0395,M039,Mumbai,0,,15,0,0,0,0.9902313143768848,1.3658688853870693,98520.0,0,1,0,,0.0012649265,3.857306355081256,0.4270983514091015,0,0,,1.1576978771243767,1.9284424486467822,ALLOW,4.5181113635771455
T000028,U0001,2026-07-18 15:02:00,1014.82,D0588,M031,Mumbai,0,,15,0,0,0,-1.1402715663155147,0.5858514308034408,83700.0,0,1,0,,0.0013810082,4.236545988645725,0.5345199599225726,0,0,,1.2715161998737174,2.1180429263391063,ALLOW,4.636750352369166
T000031,U0001,2026-07-19 11:24:00,825.19,D0588,M012,Mumbai,0,,11,0,0,0,-1.3870783458129248,0.4847436367170476,73320.0,0,1,0,,0.00081555825,5.967436012147051,0.5073526905651342,0,0,,1.7905570269441153,2.9835821044687227,ALLOW,5.216382868903828
T000006,U0001,2026-07-20 11:21:00,1297.15,D0588,M039,Mumbai,0,,11,0,0,0,-0.5755784966295595,0.7780236664716791,86220.0,0,1,0,,0.00035060133,1.6640061538385418,0.4220342075940152,0,0,,0.4993420866835625,0.831944659781134,ALLOW,3.8867387283117574
T000002,U0001,2026-07-21 05:32:00,616.95,D0395,M006,Mumbai,0,,5,1,0,0,-1.632863086513649,0.3732297950558987,65460.0,0,1,0,,0.005432085,43.70620670047772,1.7422833194893823,0,0,,13.114034844143315,21.85219815277486,HOLD,45.083147081604444
T000003,U0001,2026-07-21 10:18:00,2842.88,D0395,M031,Mumbai,0,,10,0,0,0,1.8819154203225208,1.760699785100758,17160.0,0,1,0,,0.009732112,10.916779542546497,1.4321554570023012,0,0,,3.278926707563949,5.456769681179839,ALLOW,7.278310165362173
T000026,U0001,2026-07-21 15:30:00,2058.2,D0395,M005,Mumbai,0,,15,0,0,0,0.5876049979671061,1.2410033088321997,18720.0,0,1,0,,0.0012233265,1.7428415389247889,0.6012714635315136,0,0,,0.5233417922774366,0.8712170725728376,ALLOW,3.9081425544642396
T000027,U0001,2026-07-22 10:39:00,1090.08,D0395,M045,Mumbai,0,,10,0,0,0,-0.8659037895604617,0.6518526945995518,68940.0,0,1,0,,0.0024662009,2.558147665251106,0.6927908251241198,0,0,,0.7684307799353318,1.2786633276583839,ALLOW,4.13375934076998
T000030,U0001,2026-07-23 14:17:00,1383.54,D0588,M039,Mumbai,0,,14,0,0,0,-0.4024282388655048,0.8370516059993407,99480.0,0,1,0,,0.00048168236,1.6142834399699255,0.5519577569633973,0,0,,0.4844777049349776,0.8070614715343843,ALLOW,3.8734999944387933
T000004,U0001,2026-07-23 14:30:00,1289.26,D0395,M031,Mumbai,0,,14,0,0,0,-0.537680191366811,0.7841332488065341,780.0,1,1,0,,0.0013742396,14.5647872613219,0.4457190724408575,0,0,,4.36998587423657,7.282164619542835,ALLOW,9.244218496989015
T000015,U0001,2026-07-23 15:46:00,1618.38,D0588,M039,Mumbai,0,,15,0,0,0,-0.0225446217699739,0.9909904490746626,4560.0,0,1,0,,0.0010605823,1.0186341046893628,0.9733310838398722,0,0,,0.3060144643268088,0.5091405341038076,ALLOW,3.717951877922121
T000014,U0001,2026-07-24 16:19:00,2236.75,D0395,M039,Mumbai,0,,16,0,0,0,0.9399787153467012,1.3700139772002518,88380.0,0,1,0,,0.0018341668,3.3277731968812008,0.6616621675339633,0,0,,0.9990656257843602,1.6635811286677864,ALLOW,4.357529355793097
T000038,U0001,2026-07-28 13:47:00,1303.67,D0588,M045,Mumbai,0,,13,0,0,0,-0.5406666279347513,0.7899042161428043,336480.0,0,1,0,,0.00061336835,13.37344845282448,0.4033741651390568,0,0,,4.012279883187344,6.686622004605539,ALLOW,8.552549386552839
T000016,U0001,2026-07-28 22:44:00,1282.29,D0395,M058,Mumbai,0,,22,0,0,0,-0.5643586925619977,0.7816418913483527,32220.0,0,1,0,,0.0011388051,1.662735528332854,0.4342403773559812,0,0,,0.4992761805398562,0.8311781366817494,ALLOW,3.8866345399419506
T000020,U0001,2026-07-29 14:47:00,1285.56,D0588,M012,Mumbai,0,,14,0,0,0,-0.5488179252769856,0.7884173236495925,57780.0,0,1,0,,0.00028277625,1.2756442561701549,0.4074989340940696,0,0,,0.38280638735104644,0.637775012640871,ALLOW,3.784163289648834
T000024,U0001,2026-07-30 12:42:00,1439.69,D0395,M005,Mumbai,0,,12,0,0,0,-0.2915961541317152,0.888021365899292,78900.0,0,1,0,,0.0002495828,1.1252779944157385,0.5597433852009053,0,0,,0.33768323144472157,0.562597412376914,ALLOW,3.745148510161864
