transaction_id,user_id,timestamp,amount,device_id,merchant_id,city,is_fraud,fraud_type,hour,is_odd_hour,is_new_device,is_new_merchant,amount_zscore,amount_vs_user_avg,seconds_since_last_txn,txns_last_1h,device_shared_users,rule_score,rule_reasons,ml_score,anomaly_score,lof_score,lof_flag,graph_score,graph_reasons
T000018,U0001,2026-07-01 09:06:00,2038.09,D0588,M045,Mumbai,0,,9,0,1,1,0.0,1.0,1000000000.0,0,1,0,,0.0069398507,54.80217327175573,0.658782252389178,0,0,
T000037,U0001,2026-07-01 09:17:00,2270.25,D0588,M005,Mumbai,0,,9,0,0,1,0.0,1.0,660.0,1,1,0,,0.0097173685,26.148956660625164,0.2569868720369367,0,0,
T000029,U0001,2026-07-02 09:33:00,3344.08,D0395,M006,Mumbai,0,,9,0,1,1,0.0,1.0,87360.0,0,1,0,,0.010362738,44.43419457968875,0.8893286405131672,0,0,
T000007,U0001,2026-07-05 13:11:00,1955.82,D0588,M012,Mumbai,0,,13,0,0,1,-1.0458915332243786,0.7667456827643755,272280.0,0,1,0,,0.019992385,26.60635986490505,0.3641903970326844,0,0,
T000033,U0001,2026-07-06 17:20:00,1982.51,D0395,M006,Mumbai,0,,17,0,0,0,-0.7546364183358258,0.8253374183720068,101340.0,0,1,0,,0.0010835133,1.9551417711530452,1.4178162773219996,0,0,
T000001,U0001,2026-07-08 10:28:00,1727.44,D0588,M045,Mumbai,0,,10,0,0,0,-1.1255406719410614,0.7451804237235812,148080.0,0,1,0,,0.0020308786,5.185058971581866,1.5304257040828038,0,0,
T000034,U0001,2026-07-08 12:56:00,514.61,D0395,M005,Mumbai,0,,12,0,0,0,-3.23390418252638,0.2318378096880262,8880.0,0,1,0,,0.002240687,19.277985039882367,0.547661579058877,0,0,
T000022,U0001,2026-07-08 13:43:00,810.67,D0588,M045,Mumbai,0,,13,0,0,0,-1.5118031891887895,0.4102343702741569,2820.0,1,1,0,,0.0017527731,20.679338428678427,0.5326477352015372,0,0,
T000011,U0001,2026-07-08 15:19:00,1343.99,D0395,M045,Mumbai,0,,15,0,0,0,-0.5949268897054616,0.7342467321014777,5760.0,0,1,0,,0.0013742396,1.954239384655425,0.540902288135785,0,0,
T000023,U0001,2026-07-09 03:51:00,1392.19,D0395,M058,Mumbai,0,,3,1,0,1,-0.4888575465561069,0.7837211159838092,45120.0,0,1,0,,0.00977141,50.55177452305686,0.6105038220350819,0,0,
T000008,U0001,2026-07-09 13:12:00,2138.08,D0395,M012,Mumbai,0,,13,0,0,0,0.5303547198257359,1.2302204007386683,33660.0,0,1,0,,0.0006590314,1.3151598117035683,0.5475940626369247,0,0,
T000035,U0001,2026-07-09 14:16:00,1651.78,D0395,M005,Mumbai,0,,14,0,0,0,-0.1682444343639218,0.9309269054218808,3840.0,0,1,0,,0.0012845495,1.0471013470814472,0.4590801937943061,0,0,
T000032,U0001,2026-07-11 15:06:00,1491.12,D0588,M031,Mumbai,0,,15,0,0,1,-0.3909757021313489,0.8452458271285945,175800.0,0,1,0,,0.026637273,19.79343915045598,1.6452731237848397,0,0,
T000036,U0001,2026-07-12 05:20:00,1910.28,D0395,M006,Mumbai,0,,5,1,0,0,0.2477073034583065,1.095893626335781,51240.0,0,1,0,,0.0033895015,39.11343635263008,0.1216028275117568,0,0,
T000012,U0001,2026-07-12 12:12:00,1502.32,D0588,M006,Mumbai,0,,12,0,0,0,-0.3878338616865298,0.8559910881614125,24720.0,0,1,0,,0.00033085077,1.0528511402751577,0.525651740050401,0,0,
T000025,U0001,2026-07-12 16:42:00,2255.12,D0588,M012,Mumbai,0,,16,0,0,0,0.8169370257769608,1.2973766572280978,16200.0,0,1,0,,0.0021374284,2.5341875634882416,0.4720249248509511,0,0,
T000010,U0001,2026-07-12 17:45:00,1799.1,D0395,M012,Mumbai,0,,17,0,0,0,0.0457038160826122,1.0161410736503094,3780.0,0,1,0,,0.0014900606,0.9497365595887688,0.6635138455556407,0,0,
T000021,U0001,2026-07-13 15:43:00,1209.67,D0588,M058,Mumbai,0,,15,0,0,0,-0.9272663091429932,0.6825798395946602,79080.0,0,1,0,,0.0006243931,2.2838911158350017,0.5138074809845231,0,0,
T000019,U0001,2026-07-15 21:17:00,1665.99,D0395,M031,Mumbai,0,,21,0,0,0,-0.1242143516778602,0.9569424370451094,192840.0,0,1,0,,0.0012327025,3.741537811931175,0.6626832061743207,0,0,
T000005,U0001,2026-07-16 09:02:00,968.15,D0395,M039,Mumbai,0,,9,0,0,1,-1.3084132478840091,0.5573671690155876,42300.0,0,1,0,,0.0025782636,20.848546737043534,0.5642259590524485,0,0,
T000013,U0001,2026-07-16 10:51:00,875.96,D0395,M045,Mumbai,0,,10,0,0,0,-1.3784599756353484,0.5157065116126359,6540.0,0,1,0,,0.003843103,5.351304645691057,0.5305893466435395,0,0,
T000009,U0001,2026-07-16 12:25:00,2664.77,D0395,M005,Mumbai,0,,12,0,0,0,1.6531741711862389,1.605871859111765,5640.0,0,1,0,,0.002291767,8.551602835840876,0.5981110681450819,0,0,
