transaction_id,user_id,timestamp,amount,device_id,merchant_id,city,is_fraud,fraud_type,hour,is_odd_hour,is_new_device,is_new_merchant,amount_zscore,amount_vs_user_avg,seconds_since_last_txn,txns_last_1h,device_shared_users,rule_score,rule_reasons
T000018,U0001,2026-07-01 09:06:00,2038.09,D0588,M045,Mumbai,0,,9,0,1,1,0.0,1.0,1000000000.0,0,1,0,
T000037,U0001,2026-07-01 09:17:00,2270.25,D0588,M005,Mumbai,0,,9,0,0,1,0.0,1.0,660.0,1,1,0,
T000029,U0001,2026-07-02 09:33:00,3344.08,D0395,M006,Mumbai,0,,9,0,1,1,0.0,1.0,87360.0,0,1,0,
T000007,U0001,2026-07-05 13:11:00,1955.82,D0588,M012,Mumbai,0,,13,0,0,1,-1.0458915332243786,0.7667456827643755,272280.0,0,1,0,
T000033,U0001,2026-07-06 17:20:00,1982.51,D0395,M006,Mumbai,0,,17,0,0,0,-0.7546364183358258,0.8253374183720068,101340.0,0,1,0,
T000001,U0001,2026-07-08 10:28:00,1727.44,D0588,M045,Mumbai,0,,10,0,0,0,-1.1255406719410614,0.7451804237235812,148080.0,0,1,0,
T000034,U0001,2026-07-08 12:56:00,514.61,D0395,M005,Mumbai,0,,12,0,0,0,-3.23390418252638,0.2318378096880262,8880.0,0,1,0,
T000022,U0001,2026-07-08 13:43:00,810.67,D0588,M045,Mumbai,0,,13,0,0,0,-1.5118031891887895,0.41023437027415693,2820.0,1,1,0,
T000011,U0001,2026-07-08 15:19:00,1343.99,D0395,M045,Mumbai,0,,15,0,0,0,-0.5949268897054616,0.7342467321014777,5760.0,0,1,0,
T000023,U0001,2026-07-09 03:51:00,1392.19,D0395,M058,Mumbai,0,,3,1,0,1,-0.48885754655610697,0.7837211159838092,45120.0,0,1,0,
T000008,U0001,2026-07-09 13:12:00,2138.08,D0395,M012,Mumbai,0,,13,0,0,0,0.5303547198257359,1.2302204007386683,33660.0,0,1,0,
T000035,U0001,2026-07-09 14:16:00,1651.78,D0395,M005,Mumbai,0,,14,0,0,0,-0.1682444343639218,0.9309269054218808,3840.0,0,1,0,
T000032,U0001,2026-07-11 15:06:00,1491.12,D0588,M031,Mumbai,0,,15,0,0,1,-0.39097570213134897,0.8452458271285945,175800.0,0,1,0,
T000036,U0001,2026-07-12 05:20:00,1910.28,D0395,M006,Mumbai,0,,5,1,0,0,0.2477073034583065,1.095893626335781,51240.0,0,1,0,
T000012,U0001,2026-07-12 12:12:00,1502.32,D0588,M006,Mumbai,0,,12,0,0,0,-0.3878338616865298,0.8559910881614125,24720.0,0,1,0,
T000025,U0001,2026-07-12 16:42:00,2255.12,D0588,M012,Mumbai,0,,16,0,0,0,0.8169370257769608,1.2973766572280978,16200.0,0,1,0,
T000010,U0001,2026-07-12 17:45:00,1799.1,D0395,M012,Mumbai,0,,17,0,0,0,0.04570381608261226,1.0161410736503094,3780.0,0,1,0,
T000021,U0001,2026-07-13 15:43:00,1209.67,D0588,M058,Mumbai,0,,15,0,0,0,-0.9272663091429931,0.6825798395946602,79080.0,0,1,0,
T000019,U0001,2026-07-15 21:17:00,1665.99,D0395,M031,Mumbai,0,,21,0,0,0,-0.12421435167786021,0.9569424370451094,192840.0,0,1,0,
T000005,U0001,2026-07-16 09:02:00,968.15,D0395,M039,Mumbai,0,,9,0,0,1,-1.3084132478840091,0.5573671690155876,42300.0,0,1,0,
T000013,U0001,2026-07-16 10:51:00,875.96,D0395,M045,Mumbai,0,,10,0,0,0,-1.3784599756353484,0.5157065116126359,6540.0,0,1,0,
T000009,U0001,2026-07-16 12:25:00,2664.77,D0395,M005,Mumbai,0,,12,0,0,0,1.6531741711862387,1.6058718591117653,5640.0,0,1,0,
T000017,U0001,2026-07-17 15:47:00,2328.93,D0395,M039,Mumbai,0,,15,0,0,0,0.9902313143768847,1.3658688853870693,98520.0,0,1,0,
T000028,U0001,2026-07-18 15:02:00,1014.82,D0588,M031,Mumbai,0,,15,0,0,0,-1.1402715663155147,0.5858514308034408,83700.0,0,1,0,
T000031,U0001,2026-07-19 11:24:00,825.19,D0588,M012,Mumbai,0,,11,0,0,0,-1.3870783458129248,0.4847436367170476,73320.0,0,1,0,
T000006,U0001,2026-07-20 11:21:00,1297.15,D0588,M039,Mumbai,0,,11,0,0,0,-0.5755784966295595,0.7780236664716791,86220.0,0,1,0,
T000002,U0001,2026-07-21 05:32:00,616.95,D0395,M006,Mumbai,0,,5,1,0,0,-1.632863086513649,0.37322979505589876,65460.0,0,1,0,
T000003,U0001,2026-07-21 10:18:00,2842.88,D0395,M031,Mumbai,0,,10,0,0,0,1.8819154203225208,1.760699785100758,17160.0,0,1,0,
T000026,U0001,2026-07-21 15:30:00,2058.2,D0395,M005,Mumbai,0,,15,0,0,0,0.5876049979671061,1.2410033088321997,18720.0,0,1,0,
T000027,U0001,2026-07-22 10:39:00,1090.08,D0395,M045,Mumbai,0,,10,0,0,0,-0.8659037895604617,0.6518526945995518,68940.0,0,1,0,
T000030,U0001,2026-07-23 14:17:00,1383.54,D0588,M039,Mumbai,0,,14,0,0,0,-0.40242823886550483,0.8370516059993407,99480.0,0,1,0,
T000004,U0001,2026-07-23 14:30:00,1289.26,D0395,M031,Mumbai,0,,14,0,0,0,-0.537680191366811,0.7841332488065341,780.0,1,1,0,
T000015,U0001,2026-07-23 15:46:00,1618.38,D0588,M039,Mumbai,0,,15,0,0,0,-0.022544621769973967,0.9909904490746626,4560.0,0,1,0,
T000014,U0001,2026-07-24 16:19:00,2236.75,D0395,M039,Mumbai,0,,16,0,0,0,0.9399787153467013,1.3700139772002518,88380.0,0,1,0,
T000038,U0001,2026-07-28 13:47:00,1303.67,D0588,M045,Mumbai,0,,13,0,0,0,-0.5406666279347513,0.7899042161428043,336480.0,0,1,0,
T000016,U0001,2026-07-28 22:44:00,1282.29,D0395,M058,Mumbai,0,,22,0,0,0,-0.5643586925619977,0.7816418913483527,32220.0,0,1,0,
T000020,U0001,2026-07-29 14:47:00,1285.56,D0588,M012,Mumbai,0,,14,0,0,0,-0.5488179252769856,0.7884173236495925,57780.0,0,1,0,
T000024,U0001,2026-07-30 12:42:00,1439.69,D0395,M005,Mumbai,0,,12,0,0,0,-0.2915961541317152,0.888021365899292,78900.0,0,1,0,
T000051,U0002,2026-07-01 15:47:00,2422.21,D0834,M028,Chennai,0,,15,0,1,1,0.0,1.0,1000000000.0,0,2,0,
T000071,U0002,2026-07-01 16:22:00,4634.17,D0834,M027,Chennai,0,,16,0,0,1,0.0,1.0,2100.0,1,2,0,
T000068,U0002,2026-07-02 10:32:00,3565.83,D0834,M027,Chennai,0,,10,0,0,0,0.0,1.0,65400.0,0,2,0,
T000049,U0002,2026-07-02 22:09:00,2745.87,D0834,M047,Chennai,0,,22,0,0,1,-0.8800529828385992,0.7755081096752443,41820.0,0,2,0,
